,datetime,open,high,low,close
20170419221502,2017-04-19 22:15:02,1285.9,1286.6,1285.8,1286.6
20170419221922,2017-04-19 22:19:22,1286.6,1286.7,1286.1,1286.4
20170419222354,2017-04-19 22:23:54,1286.4,1286.7,1286.0,1286.0
20170419222840,2017-04-19 22:28:40,1286.0,1286.2,1285.5,1285.5
20170419223045,2017-04-19 22:30:45,1285.6,1285.6,1284.7,1284.7
20170419223114,2017-04-19 22:31:14,1284.8,1285.2,1284.3,1285.0
20170419223134,2017-04-19 22:31:34,1284.9,1284.9,1284.4,1284.7
20170419223240,2017-04-19 22:32:40,1284.7,1284.8,1284.4,1284.6
20170419223409,2017-04-19 22:34:09,1284.6,1284.9,1284.1,1284.6
20170419223508,2017-04-19 22:35:08,1284.5,1284.5,1284.0,1284.1
20170419223632,2017-04-19 22:36:32,1284.1,1284.1,1283.4,1283.7
20170419223718,2017-04-19 22:37:18,1283.7,1284.2,1283.7,1283.9
20170419223826,2017-04-19 22:38:26,1283.8,1284.0,1283.5,1283.7
20170419224010,2017-04-19 22:40:10,1283.8,1284.6,1283.8,1284.5
20170419224134,2017-04-19 22:41:34,1284.5,1284.7,1284.3,1284.3
20170419224319,2017-04-19 22:43:19,1284.3,1284.7,1283.8,1283.9
20170419224453,2017-04-19 22:44:53,1283.9,1284.2,1283.5,1284.0
20170419224624,2017-04-19 22:46:24,1284.0,1284.3,1283.6,1283.9
20170419224845,2017-04-19 22:48:45,1283.9,1284.1,1283.0,1283.0
20170419225021,2017-04-19 22:50:21,1283.0,1283.3,1282.7,1283.3
20170419225035,2017-04-19 22:50:35,1283.3,1283.9,1283.3,1283.5
20170419225131,2017-04-19 22:51:31,1283.5,1284.2,1283.3,1284.0
20170419225320,2017-04-19 22:53:20,1284.0,1284.1,1282.6,1282.6
20170419225518,2017-04-19 22:55:18,1282.6,1282.6,1281.7,1282.2
20170419225518,2017-04-19 22:55:18,1282.2,1282.3,1281.9,1282.0
20170419225522,2017-04-19 22:55:22,1282.0,1282.0,1281.7,1281.7
20170419225529,2017-04-19 22:55:29,1281.7,1281.9,1281.5,1281.6
20170419225539,2017-04-19 22:55:39,1281.6,1282.2,1281.4,1282.1
20170419225551,2017-04-19 22:55:51,1282.0,1282.2,1281.5,1281.8
20170419225630,2017-04-19 22:56:30,1281.8,1281.8,1280.8,1280.8
20170419225648,2017-04-19 22:56:48,1276.1,1276.1,1275.6,1275.7
20170419225648,2017-04-19 22:56:48,1276.1,1276.1,1275.7,1276.1
20170419225648,2017-04-19 22:56:48,1280.8,1280.8,1275.7,1276.1
